sessions_viewed,time_spent_minutes,moodlet_logins,days_since_last_login,engagement_level,quiz_attempts,rewatched_sessions,strategy_score,leadership_score,sustainability_score,finance_score,operations_score,marketing_score,digital_transformation_score,behaviour_score,completion_status,learning_preference
6,258,9,19,5,3,2,92,48,75,85,98,51,68,55.5,0,Case Study
3,378,9,31,4,6,5,19,95,0,91,81,67,38,50.375,0,Case Study
7,305,18,35,7,6,2,28,99,54,51,74,25,81,67.83333333333333,1,Case Study
4,267,13,49,6,1,4,23,31,21,52,83,74,70,43.125,0,Video
6,448,1,3,2,2,6,81,54,39,85,63,1,80,57.66666666666667,0,Quiz
2,53,27,26,5,0,1,62,78,100,42,68,13,38,37.95833333333333,0,Quiz
6,235,0,16,7,7,5,73,57,0,82,82,29,35,58.791666666666664,0,Video
7,388,22,11,7,8,5,56,98,64,71,85,48,39,81.79166666666667,1,Video
4,477,22,21,5,3,2,7,2,62,71,58,11,44,64.375,0,Mixed
3,221,27,16,9,5,5,89,79,53,41,59,89,3,62.83333333333333,0,Mixed
7,250,17,9,4,8,4,61,68,41,89,82,43,24,69.54166666666667,1,Case Study
7,312,6,53,3,5,1,28,84,20,25,61,32,68,50.375,0,Case Study
2,400,28,0,4,8,8,73,9,78,22,15,12,29,67.91666666666667,1,Video
5,111,7,21,5,3,7,16,82,80,42,87,77,75,44.75,0,Case Study
4,254,0,25,6,7,2,65,24,21,76,67,87,67,49.583333333333336,0,Quiz
1,302,24,55,3,8,7,5,67,37,27,14,97,87,43.45833333333333,0,Video
7,406,22,58,2,3,8,57,60,98,8,88,25,28,57.04166666666667,0,Video
5,206,2,17,4,4,2,68,28,79,19,54,20,72,46.95833333333333,0,Quiz
1,228,23,49,5,7,2,27,18,7,55,34,27,67,43.125,0,Mixed
4,340,22,13,4,5,1,61,42,61,82,54,47,50,61.66666666666667,0,Mixed
0,397,26,46,3,6,7,40,65,46,38,13,99,23,45.041666666666664,0,Quiz
5,65,30,28,8,2,0,68,73,16,50,48,39,13,55.83333333333333,0,Quiz
8,74,28,11,10,6,7,81,60,16,11,82,65,68,76.83333333333333,1,Case Study
0,434,7,35,4,7,6,89,42,89,78,99,72,17,42.58333333333333,0,Video
2,102,21,58,2,5,6,83,24,12,94,6,86,41,30.75,0,Case Study
6,421,24,34,2,8,2,40,19,16,54,29,78,56,67.79166666666667,1,Quiz
3,191,14,51,1,5,0,48,47,37,77,82,76,82,34.33333333333333,0,Case Study
8,251,4,60,4,8,3,90,82,80,10,48,22,11,53.458333333333336,0,Quiz
2,225,2,11,10,3,8,48,86,77,25,88,80,81,47.625,0,Case Study
4,293,18,6,9,7,4,75,23,44,41,15,47,16,69.45833333333334,1,Case Study
2,305,0,28,7,3,0,70,10,5,26,50,1,29,41.20833333333333,0,Mixed
6,97,27,10,10,1,4,2,97,34,10,71,83,87,65.04166666666667,1,Quiz
4,337,14,32,7,8,7,9,54,13,37,81,19,74,61.041666666666664,0,Case Study
8,285,7,5,7,4,7,97,27,71,97,91,58,98,69.625,1,Video
6,334,1,46,8,3,4,88,68,60,42,79,45,22,52.416666666666664,0,Case Study
1,346,2,14,1,1,8,34,62,14,18,82,2,80,32.791666666666664,0,Case Study
3,434,23,31,10,0,0,79,58,53,63,41,54,0,61.20833333333333,0,Video
8,446,13,50,10,6,3,1,4,26,5,16,11,78,75.08333333333334,1,Quiz
1,307,23,10,8,5,2,23,50,12,45,62,39,31,58.166666666666664,0,Mixed
8,248,13,57,4,1,1,73,20,30,41,44,65,8,49.833333333333336,0,Mixed
4,165,10,22,4,7,7,37,11,34,91,76,99,14,48.625,0,Mixed
1,480,15,25,4,3,6,21,49,59,64,6,77,27,49.125,0,Video
3,471,3,33,6,7,8,25,3,5,98,26,15,23,55.0,0,Case Study
6,334,19,45,7,6,1,42,41,68,71,9,82,59,63.916666666666664,0,Quiz
7,29,4,33,6,4,3,54,83,85,58,33,33,34,45.83333333333333,0,Case Study
2,246,21,28,1,7,5,38,37,57,51,35,43,85,45.25,0,Mixed
0,105,20,3,8,8,2,90,24,48,46,24,5,26,50.625,0,Case Study
3,50,13,16,10,4,7,28,13,22,6,5,76,82,48.958333333333336,0,Video
1,80,30,34,7,4,2,19,74,88,10,23,63,75,43.45833333333333,0,Video
7,132,22,12,6,1,1,90,31,33,60,17,99,19,60.625,0,Quiz
3,284,15,40,6,4,2,40,10,25,67,86,21,64,47.708333333333336,0,Quiz
1,387,17,38,5,2,5,53,60,46,24,5,17,84,43.25,0,Mixed
5,137,6,14,6,6,1,19,17,4,11,28,11,48,52.33333333333333,0,Quiz
5,183,9,54,9,4,7,18,26,89,25,24,51,0,47.75,0,Case Study
3,400,6,28,10,7,0,83,54,19,11,54,93,9,60.79166666666667,0,Video
5,329,0,28,9,0,6,98,53,5,42,80,50,46,50.833333333333336,0,Video
1,272,22,10,10,2,1,65,81,69,50,45,70,58,55.45833333333333,0,Video
1,339,20,51,8,2,5,29,86,58,36,23,95,95,44.0,0,Quiz
3,471,18,31,10,8,1,52,74,63,45,74,47,61,70.25,1,Video
7,68,15,1,9,4,1,33,20,17,52,25,18,85,65.45833333333333,1,Video
6,33,28,46,10,8,7,21,43,3,87,97,5,17,62.625,0,Video
8,261,18,13,8,8,1,66,4,16,79,27,83,45,78.625,1,Mixed
7,52,3,19,8,0,6,5,86,13,12,2,26,31,47.79166666666667,0,Mixed
4,449,28,21,1,1,2,78,40,77,88,74,52,26,57.70833333333333,0,Quiz
1,204,27,10,10,4,7,26,58,12,53,37,100,91,57.625,0,Video
4,125,17,26,5,3,6,9,88,6,56,60,47,17,45.958333333333336,0,Quiz
7,234,1,2,4,8,7,72,53,43,3,77,6,38,62.625,0,Video
8,42,0,16,2,6,6,96,73,14,74,50,58,48,48.25,0,Video
8,239,14,43,8,5,5,95,21,18,95,89,68,92,64.45833333333334,0,Video
0,458,4,55,3,6,6,47,82,62,48,47,10,81,34.333333333333336,0,Quiz
8,370,19,27,4,0,4,69,64,34,6,20,14,43,64.16666666666667,0,Quiz
6,110,10,28,7,0,6,58,63,80,10,53,63,71,46.83333333333333,0,Video
8,248,9,20,10,7,0,99,70,34,91,55,2,53,73.58333333333334,1,Case Study
7,150,30,46,9,1,0,58,3,18,53,93,68,94,61.375,0,Quiz
0,182,1,15,2,8,8,1,64,19,86,58,22,33,32.33333333333333,0,Mixed
7,335,2,36,3,6,4,28,14,99,44,71,52,70,54.83333333333333,0,Quiz
7,94,22,58,4,5,4,67,75,34,22,50,36,35,49.54166666666667,0,Video
2,458,22,19,10,0,2,64,21,31,27,19,8,17,61.583333333333336,0,Case Study
0,373,11,5,1,0,4,82,85,47,56,95,14,37,36.29166666666667,0,Video
7,399,19,18,7,1,2,25,46,43,25,85,2,58,70.25,1,Mixed
2,7,4,56,2,5,8,88,80,23,24,58,92,8,18.791666666666668,0,Quiz
2,387,4,4,5,5,8,9,92,60,53,70,69,72,52.125,0,Quiz
0,359,5,2,1,1,5,52,45,16,28,8,16,71,34.708333333333336,0,Video
4,387,29,58,3,0,0,78,13,70,82,0,25,50,48.125,0,Video
6,183,8,0,2,4,6,58,49,49,96,28,20,34,53.375,0,Mixed
8,280,1,57,1,4,6,21,19,64,35,62,71,81,44.41666666666667,0,Case Study
6,194,20,59,7,1,3,50,49,98,13,71,20,4,48.833333333333336,0,Mixed
8,351,11,37,5,5,7,47,32,31,77,55,10,13,64.625,0,Case Study
7,194,2,14,1,8,5,20,58,35,34,67,37,91,53.958333333333336,0,Quiz
1,154,19,33,6,1,3,21,42,12,29,34,71,29,36.04166666666667,0,Case Study
0,92,25,60,5,1,3,99,78,69,91,2,87,3,25.083333333333332,0,Case Study
6,159,21,34,3,2,1,97,11,57,16,6,34,38,49.375,0,Quiz
6,433,11,48,7,6,1,29,39,13,66,26,13,83,63.29166666666667,0,Quiz
